Car_Name,Year,Selling_Price,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0
verna,2012,4.5,9.4,36100,Petrol,Dealer,Manual,0
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0
city,2016,9.15,13.6,29223,Petrol,Dealer,Manual,0
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0
wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,0
city,2015,8.4,13.6,34000,Petrol,Dealer,Manual,0
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0
dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0
i10,2011,2.95,4.6,53460,Petrol,Dealer,Manual,0
eon,2012,2.0,4.43,23709,Petrol,Dealer,Manual,0
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0
fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0
elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,0
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0
xcent,2014,4.4,7.13,34000,Petrol,Dealer,Manual,0
sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0
brio,2015,5.25,5.9,14465,Petrol,Dealer,Manual,0
verna,2012,4.5,9.4,36000,Petrol,Dealer,Manual,0
i20,2012,3.1,6.79,52132,Diesel,Dealer,Manual,0
verna,2013,5.95,9.4,49000,Diesel,Dealer,Manual,0
eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual,0
eon,2016,3.1,4.43,11849,Petrol,Dealer,Manual,0
city,2009,3.0,10.0,69562,Petrol,Dealer,Manual,0
ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0
etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,0
verna,2013,6.15,9.4,45000,Diesel,Dealer,Manual,0
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0
grand i10,2015,4.85,5.7,21125,Diesel,Dealer,Manual,0
alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0
um renegade mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0
verna,2017,9.25,9.4,15001,Petrol,Dealer,Manual,0
brio,2015,5.4,6.1,31427,Petrol,Dealer,Manual,0
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0
alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,0
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0
amaze,2015,4.0,7.0,40026,Petrol,Dealer,Manual,0
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1
verna,2015,5.95,9.4,36000,Petrol,Dealer,Manual,0
i20,2016,5.25,7.6,17000,Petrol,Dealer,Manual,0
verna,2017,9.1,9.4,15141,Petrol,Dealer,Manual,0
etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0
i20,2011,2.9,6.79,31604,Petrol,Dealer,Manual,0
city,2016,8.35,9.4,19434,Diesel,Dealer,Manual,0
verna,2014,6.45,8.4,45078,Petrol,Dealer,Manual,0
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0
city,2015,7.5,10.0,27600,Petrol,Dealer,Manual,0
i10,2013,4.0,4.6,30000,Petrol,Dealer,Manual,0
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0
i20,2010,3.25,6.79,58000,Diesel,Dealer,Manual,1
innova,2017,23.0,25.39,15000,Diesel,Dealer,Automatic,0
verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual,0
fortuner,2017,33.0,36.23,6000,Diesel,Dealer,Automatic,0
i10,2011,2.55,4.43,57000,Petrol,Dealer,Manual,0
land cruiser,2010,35.0,92.6,78000,Diesel,Dealer,Manual,0
swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0
jazz,2016,7.4,8.5,15059,Petrol,Dealer,Automatic,0
brio,2012,3.0,5.35,53675,Petrol,Dealer,Manual,0
verna,2012,5.35,9.4,32322,Diesel,Dealer,Manual,0
brio,2013,3.5,5.9,9800,Petrol,Dealer,Manual,0
fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0
city,2006,2.1,7.6,50456,Petrol,Dealer,Manual,0
etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0
creta,2016,12.9,13.6,35934,Diesel,Dealer,Manual,0
etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,0
grand i10,2015,5.5,5.7,4492,Petrol,Dealer,Manual,0
eon,2016,2.9,4.43,12500,Petrol,Dealer,Manual,0
i20,2013,4.5,6.79,32000,Petrol,Dealer,Automatic,0
camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3
city,2014,7.2,9.9,48000,Diesel,Dealer,Manual,0
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0
jazz,2016,5.65,7.9,28569,Petrol,Dealer,Manual,0
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0
etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,0
city,2015,8.4,13.6,25000,Petrol,Dealer,Manual,0
city,2014,6.25,13.6,40126,Petrol,Dealer,Manual,0
city,2016,10.25,13.6,49562,Petrol,Dealer,Manual,0
swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0
grand i10,2017,5.25,5.7,20114,Petrol,Dealer,Manual,0
city,2017,11.5,12.5,9000,Diesel,Dealer,Manual,0
swift,2017,6.0,6.49,16200,Petrol,Individual,Manual,0
grand i10,2013,3.9,5.7,53000,Diesel,Dealer,Manual,0
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0
swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0
dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0
ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0
jazz,2016,6.4,8.4,12000,Petrol,Dealer,Manual,0
city,2016,8.99,11.8,9010,Petrol,Dealer,Manual,0
ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0
grand i10,2015,4.4,5.7,28200,Petrol,Dealer,Manual,0
swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,0
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0
eon,2016,3.15,4.43,15000,Petrol,Dealer,Manual,0
